Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
ExplicitArrayFilling;Java/Verbose or redundant code constructs;Explicit array filling;JAVA;LOCAL;0.00;0.01%;0;2
CallToPrintStackTrace;Java/Code maturity;Call to 'printStackTrace()';JAVA;LOCAL;0.00;0.01%;0;3
SimplifyStreamApiCallChains;Java/Verbose or redundant code constructs;Stream API call chain can be simplified;JAVA;LOCAL;0.00;0.01%;0;3
ComparatorMethodParameterNotUsed;Java/Probable bugs;Suspicious 'Comparator.compare()' implementation;JAVA;LOCAL;0.00;0.01%;0;3
SuspiciousToArrayCall;Java/Probable bugs;Suspicious 'Collection.toArray()' call;JAVA;LOCAL;0.00;0.01%;0;3
NonPrivateFieldAccessedInSynchronizedContext;Java/Threading issues;Non-private field accessed in 'synchronized' context;JAVA;LOCAL;0.00;0.01%;0;3
SuspiciousTernaryOperatorInVarargsCall;Java/Probable bugs;Suspicious ternary operator in varargs method call;JAVA;LOCAL;0.00;0.01%;0;3
UseBulkOperation;Java/Performance;Bulk operation can be used instead of iteration;JAVA;LOCAL;0.00;0.01%;0;3
OverwrittenKey;Java/Probable bugs;Overwritten Map, Set, or array element;JAVA;LOCAL;0.00;0.01%;0;2
PrimitiveArrayArgumentToVarargsMethod;Java/Probable bugs;Confusing primitive array argument to varargs method;JAVA;LOCAL;0.00;0.01%;0;3
SwitchStatementWithoutDefaultBranch;Java/Control flow issues;'switch' statement without 'default' branch;JAVA;LOCAL;0.00;0.01%;0;3
AssertWithSideEffects;Java/Probable bugs;'assert' statement with side effects;JAVA;LOCAL;0.00;0.01%;0;2
StringBufferReplaceableByString;Java/Verbose or redundant code constructs;'StringBuilder' can be replaced with 'String';JAVA;LOCAL;0.00;0.01%;0;3
IfStatementMissingBreakInLoop;Java/Performance;Early loop exit in 'if' condition;JAVA;LOCAL;0.00;0.01%;0;2
InstanceofIncompatibleInterface;Java/Probable bugs;'instanceof' with incompatible interface;JAVA;LOCAL;0.00;0.01%;0;2
MalformedFormatString;Java/Probable bugs;Malformed format string;JAVA;LOCAL;0.00;0.01%;0;3
UseOfPropertiesAsHashtable;Java/Probable bugs;Use of 'Properties' object as a 'Hashtable';JAVA;LOCAL;0.00;0.01%;0;2
ExceptionClassNameDoesntEndWithException;Java/Naming conventions/Class;Exception class name does not end with 'Exception';JAVA;LOCAL;0.00;0.01%;0;1
RedundantStringFormatCall;Java/Performance;Redundant call to 'String.format()';JAVA;LOCAL;0.00;0.01%;0;2
FieldMayBeStatic;Java/Performance;Field can be made 'static';JAVA;LOCAL;0.00;0.01%;0;3
BoxingBoxedValue;Java/Performance;Boxing of already boxed value;JAVA;LOCAL;0.00;0.01%;0;3
RedundantCollectionOperation;Java/Verbose or redundant code constructs;Redundant 'Collection' operation;JAVA;LOCAL;0.00;0.01%;0;3
ExcessiveRangeCheck;Java/Verbose or redundant code constructs;Excessive range check;JAVA;LOCAL;0.00;0.01%;0;2
CopyConstructorMissesField;Java/Probable bugs;Copy constructor misses field;JAVA;LOCAL;0.00;0.01%;0;2
EqualsWhichDoesntCheckParameterClass;Java/Probable bugs;'equals()' method which does not check class of parameter;JAVA;LOCAL;0.00;0.01%;0;3
CastCanBeRemovedNarrowingVariableType;Java/Verbose or redundant code constructs;Too weak variable type leads to unnecessary cast;JAVA;LOCAL;0.00;0.01%;0;3
NumericOverflow;Java/Numeric issues;Numeric overflow;JAVA;LOCAL;0.00;0.01%;0;3
SocketOpenedButNotSafelyClosed;Java/Resource management;Socket opened but not safely closed;JAVA;LOCAL;0.00;0.00%;0;2
SuspiciousDateFormat;Java/Probable bugs;Suspicious date format pattern;JAVA;LOCAL;0.00;0.00%;0;2
DoubleCheckedLocking;Java/Threading issues;Double-checked locking;JAVA;LOCAL;0.00;0.00%;0;3
SortedCollectionWithNonComparableKeys;Java/Probable bugs;Sorted collection with non-comparable elements;JAVA;LOCAL;0.00;0.00%;0;3
CommentedOutCode;Java/Code maturity;Commented out code;JAVA;LOCAL;0.00;0.00%;0;1
SynchronizationOnGetClass;Java/Threading issues;Synchronization on 'getClass()';JAVA;LOCAL;0.00;0.00%;0;3
AccessStaticViaInstance;Java/Declaration redundancy;Access static member via instance reference;JAVA;LOCAL;0.00;0.00%;0;1
PointlessBitwiseExpression;Java/Bitwise operation issues;Pointless bitwise expression;JAVA;LOCAL;0.00;0.00%;0;3
MathRandomCastToInt;Java/Probable bugs;'Math.random()' cast to 'int';JAVA;LOCAL;0.00;0.00%;0;3
TextLabelInSwitchStatement;Java/Probable bugs;Text label in 'switch' statement;JAVA;LOCAL;0.00;0.00%;0;3
DuplicateThrows;Java/Declaration redundancy;Duplicate throws;JAVA;LOCAL;0.00;0.00%;0;3
SynchronizeOnThis;Java/Threading issues;Synchronization on 'this';JAVA;LOCAL;0.00;0.00%;0;2
DoubleBraceInitialization;Java/Initialization;Double brace initialization;JAVA;LOCAL;0.00;0.00%;0;3
UnnecessaryUnaryMinus;Java/Numeric issues;Unnecessary unary minus;JAVA;LOCAL;0.00;0.00%;0;3
MismatchedStringCase;Java/Probable bugs;Mismatched case in 'String' operation;JAVA;LOCAL;0.00;0.00%;0;3
DoubleNegation;Java/Control flow issues;Double negation;JAVA;LOCAL;0.00;0.00%;0;3
ManualArrayToCollectionCopy;Java/Performance;Manual array to collection copy;JAVA;LOCAL;0.00;0.00%;0;3
AssignmentUsedAsCondition;Java/Assignment issues;Assignment used as condition;JAVA;LOCAL;0.00;0.00%;0;2
JavaReflectionMemberAccess;Java/Reflective access;Reflective access to nonexistent/not visible class member;JAVA;LOCAL;0.00;0.00%;0;3
StringTokenizerDelimiter;Java/Probable bugs;Duplicated delimiters in 'StringTokenizer';JAVA;LOCAL;0.00;0.00%;0;2
ReflectionForUnavailableAnnotation;Java/Probable bugs;Reflective access to a source-only annotation;JAVA;LOCAL;0.00;0.00%;0;2
ReplaceOnLiteralHasNoEffect;Java/Verbose or redundant code constructs;Replacement operation has no effect;JAVA;LOCAL;0.00;0.00%;0;3
InstantiatingObjectToGetClassObject;Java/Performance;Instantiating object to get 'Class' object;JAVA;LOCAL;0.00;0.00%;0;2
ShiftOutOfRange;Java/Bitwise operation issues;Shift operation by inappropriate constant;JAVA;LOCAL;0.00;0.00%;0;2
ProtectedMemberInFinalClass;Java/Declaration redundancy;'protected' member in 'final' class;JAVA;LOCAL;0.00;0.00%;0;3
IterableUsedAsVararg;Java/Probable bugs;Iterable is used as vararg;JAVA;LOCAL;0.00;0.00%;0;3
UnusedLabel;Java/Declaration redundancy;Unused label;JAVA;LOCAL;0.00;0.00%;0;3
UnnecessaryInitCause;Java/Error handling;Unnecessary call to 'Throwable.initCause()';JAVA;LOCAL;0.00;0.00%;0;3
ComparisonOfShortAndChar;Java/Numeric issues;Comparison of 'short' and 'char' values;JAVA;LOCAL;0.00;0.00%;0;3
OptionalUsedAsFieldOrParameterType;Java/Abstraction issues;'Optional' used as field or parameter type;JAVA;LOCAL;0.00;0.00%;0;3
FinalizeDeclaration;Java/Finalization;'finalize()' should not be overridden;JAVA;LOCAL;0.00;0.00%;0;2
NewObjectEquality;Java/Probable bugs;New object is compared using '==';JAVA;LOCAL;0.00;0.00%;0;2
RedundantCompareCall;Java/Verbose or redundant code constructs;Redundant 'compare()' method call;JAVA;LOCAL;0.00;0.00%;0;2
ConstantForZeroLengthArrayAllocation;Java/Memory;Unnecessary zero length array usage;JAVA;LOCAL;0.00;0.00%;0;2
UnnecessaryBreak;Java/Verbose or redundant code constructs;Unnecessary 'break' statement;JAVA;LOCAL;0.00;0.00%;0;3
JavaReflectionInvocation;Java/Reflective access;Reflective invocation arguments mismatch;JAVA;LOCAL;0.00;0.00%;0;2
CaughtExceptionImmediatelyRethrown;Java/Error handling;Caught exception is immediately rethrown;JAVA;LOCAL;0.00;0.00%;0;2
UnpredictableBigDecimalConstructorCall;Java/Numeric issues;Unpredictable 'BigDecimal' constructor call;JAVA;LOCAL;0.00;0.00%;0;3
ArrayHashCode;Java/Probable bugs;'hashCode()' called on array;JAVA;LOCAL;0.00;0.00%;0;2
UnnecessaryTemporaryOnConversionToString;Java/Performance;Unnecessary temporary object in conversion to 'String';JAVA;LOCAL;0.00;0.00%;0;2
WaitNotInLoop;Java/Threading issues;'wait()' not called in loop;JAVA;LOCAL;0.00;0.00%;0;2
IntegerDivisionInFloatingPointContext;Java/Numeric issues;Integer division in floating point context;JAVA;LOCAL;0.00;0.00%;0;3
NewStringBufferWithCharArgument;Java/Probable bugs;StringBuilder constructor call with 'char' argument;JAVA;LOCAL;0.00;0.00%;0;3
StringEquality;Java/Probable bugs;String comparison using '==', instead of 'equals()';JAVA;LOCAL;0.00;0.00%;0;2
ClassGetClass;Java/Probable bugs;Suspicious 'Class.getClass()' call;JAVA;LOCAL;0.00;0.00%;0;3
UnnecessaryLabelOnBreakStatement;Java/Verbose or redundant code constructs;Unnecessary label on 'break' statement;JAVA;LOCAL;0.00;0.00%;0;2
SerializableRecordContainsIgnoredMembers;Java/Serialization issues;'record' contains ignored members;JAVA;LOCAL;0.00;0.00%;0;2
ManualArrayCopy;Java/Performance;Manual array copy;JAVA;LOCAL;0.00;0.00%;0;3
MisspelledEquals;Java/Probable bugs;'equal()' instead of 'equals()';JAVA;LOCAL;0.00;0.00%;0;3
EmptySynchronizedStatement;Java/Threading issues;Empty 'synchronized' statement;JAVA;LOCAL;0.00;0.00%;0;2
TrivialFunctionalExpressionUsage;Java/Declaration redundancy;Trivial usage of functional expression;JAVA;LOCAL;0.00;0.00%;0;3
TextBlockMigration;Java/Java language level migration aids/Java 15;Text block can be used;JAVA;LOCAL;0.00;0.00%;0;1
AbstractClassNeverImplemented;Java/Inheritance issues;Abstract class which has no concrete subclass;JAVA;LOCAL;0.00;0.00%;0;2
ThrowablePrintedToSystemOut;Java/Code maturity;'Throwable' printed to 'System.out';JAVA;LOCAL;0.00;0.00%;0;2
RedundantRecordConstructor;Java/Declaration redundancy;Redundant record constructor;JAVA;LOCAL;0.00;0.00%;0;2
WhileLoopSpinsOnField;Java/Threading issues;'while' loop spins on field;JAVA;LOCAL;0.00;0.00%;0;3
ThrowFromFinallyBlock;Java/Error handling;'throw' inside 'finally' block;JAVA;LOCAL;0.00;0.00%;0;2
SimplifyOptionalCallChains;Java/Verbose or redundant code constructs;Optional call chain can be simplified;JAVA;LOCAL;0.00;0.00%;0;3
BooleanConstructorCall;Java/Performance;Boolean constructor call;JAVA;LOCAL;0.00;0.00%;0;2
finally;Java/Error handling;'finally' block which can not complete normally;JAVA;LOCAL;0.00;0.00%;0;2
InstantiatingAThreadWithDefaultRunMethod;Java/Threading issues;Instantiating a 'Thread' with default 'run()' method;JAVA;LOCAL;0.00;0.00%;0;3
ClassInitializerMayBeStatic;Java/Performance;Class initializer may be 'static';JAVA;LOCAL;0.00;0.00%;0;2
IdempotentLoopBody;Java/Control flow issues;Idempotent loop body;JAVA;LOCAL;0.00;0.00%;0;3
InstanceofCatchParameter;Java/Error handling;'instanceof' on 'catch' parameter;JAVA;LOCAL;0.00;0.00%;0;1
ArrayEquality;Java/Probable bugs;Array comparison using '==', instead of 'Arrays.equals()';JAVA;LOCAL;0.00;0.00%;0;2
SuspiciousRegexArgument;Java/Probable bugs;Suspicious regex expression argument;JAVA;LOCAL;0.00;0.00%;0;3
RedundantUnmodifiable;Java/Verbose or redundant code constructs;Redundant usage of unmodifiable collection wrappers;JAVA;LOCAL;0.00;0.00%;0;2
LongLiteralEndingWithLowercaseL;Java/Numeric issues;'long' literal ending with 'l' instead of 'L';JAVA;LOCAL;0.00;0.00%;0;2
NonAtomicOperationOnVolatileField;Java/Threading issues;Non-atomic operation on 'volatile' field;JAVA;LOCAL;0.00;0.00%;0;2
AtomicFieldUpdaterNotStaticFinal;Java/Threading issues;'AtomicFieldUpdater' field not declared 'static final';JAVA;LOCAL;0.00;0.00%;0;3
LoopStatementThatDoesntLoop;Java/Control flow issues;Loop statement that does not loop;JAVA;LOCAL;0.00;0.00%;0;3
UnnecessaryTemporaryOnConversionFromString;Java/Performance;Unnecessary temporary object in conversion from 'String';JAVA;LOCAL;0.00;0.00%;0;3
ParameterCanBeLocal;Java/Class structure;Value passed as parameter never read;JAVA;LOCAL;0.00;0.00%;0;2
MethodOverridesStaticMethodOfSuperclass;Java/Visibility;Method tries to override 'static' method of superclass;JAVA;LOCAL;0.00;0.00%;0;2
CatchMayIgnoreException;Java/Error handling;Catch block may ignore exception;JAVA;LOCAL;0.00;0.00%;0;3
EnhancedSwitchMigration;Java/Java language level migration aids/Java 14;Statement can be replaced with enhanced 'switch';JAVA;LOCAL;0.00;0.00%;0;2
AssignmentToForLoopParameter;Java/Assignment issues;Assignment to 'for' loop parameter;JAVA;LOCAL;0.00;0.00%;0;3
Java9CollectionFactory;Java/Java language level migration aids/Java 9;Immutable collection creation can be replaced with collection factory call;JAVA;LOCAL;0.00;0.00%;0;1
Java9UndeclaredServiceUsage;Java/Visibility;Usage of service not declared in 'module-info';JAVA;LOCAL;0.00;0.00%;0;2
StringBufferMayBeStringBuilder;Java/Java language level migration aids/Java 5;'StringBuffer' may be 'StringBuilder';JAVA;LOCAL;0.00;0.00%;0;1
ComparisonToNaN;Java/Numeric issues;Comparison to 'Double.NaN' or 'Float.NaN';JAVA;LOCAL;0.00;0.00%;0;3
CovariantEquals;Java/Probable bugs;Covariant 'equals()';JAVA;LOCAL;0.00;0.00%;0;3
PatternVariableHidesField;Java/Visibility;Pattern variable hides field;JAVA;LOCAL;0.00;0.00%;0;1
CachedNumberConstructorCall;Java/Numeric issues;Number constructor call with primitive argument;JAVA;LOCAL;0.00;0.00%;0;2
BigDecimalMethodWithoutRoundingCalled;Java/Numeric issues;Call to 'BigDecimal' method without a rounding mode argument;JAVA;LOCAL;0.00;0.00%;0;2
EqualsWithItself;Java/Probable bugs;'equals()' called on itself;JAVA;LOCAL;0.00;0.00%;0;3
PointlessArithmeticExpression;Java/Numeric issues;Pointless arithmetic expression;JAVA;LOCAL;0.00;0.00%;0;2
EmptyFinallyBlock;Java/Error handling;Empty 'finally' block;JAVA;LOCAL;0.00;0.00%;0;2
ContinueOrBreakFromFinallyBlock;Java/Error handling;'continue' or 'break' inside 'finally' block;JAVA;LOCAL;0.00;0.00%;0;2
SuspiciousInvocationHandlerImplementation;Java/Probable bugs;Suspicious 'InvocationHandler' implementation;JAVA;LOCAL;0.00;0.00%;0;3
MismatchedReadAndWriteOfArray;Java/Probable bugs;Mismatched read and write of array;JAVA;LOCAL;0.00;0.00%;0;3
IntegerMultiplicationImplicitCastToLong;Java/Numeric issues/Cast;Integer multiplication or shift implicitly cast to 'long';JAVA;LOCAL;0.00;0.00%;0;2
ListRemoveInLoop;Java/Performance;'List.remove()' called in loop;JAVA;LOCAL;0.00;0.00%;0;2
SimplifiableBooleanExpression;Java/Control flow issues;Simplifiable boolean expression;JAVA;LOCAL;0.00;0.00%;0;3
IOResourceOpenedButNotSafelyClosed;Java/Resource management;I/O resource opened but not safely closed;JAVA;LOCAL;0.00;0.00%;0;2
IncompatibleBitwiseMaskOperation;Java/Bitwise operation issues;Incompatible bitwise mask operation;JAVA;LOCAL;0.00;0.00%;0;3
EqualsAndHashcode;Java/Probable bugs;'equals()' and 'hashCode()' not paired;JAVA;LOCAL;0.00;0.00%;0;2
IteratorHasNextCallsIteratorNext;Java/Probable bugs;'Iterator.hasNext()' which calls 'next()';JAVA;LOCAL;0.00;0.00%;0;2
RedundantExplicitClose;Java/Declaration redundancy;Redundant 'close()';JAVA;LOCAL;0.00;0.00%;0;2
StringRepeatCanBeUsed;Java/Java language level migration aids/Java 11;String.repeat() can be used;JAVA;LOCAL;0.00;0.00%;0;1
CastConflictsWithInstanceof;Java/Probable bugs;Cast conflicts with 'instanceof';JAVA;LOCAL;0.00;0.00%;0;2
StringEqualsCharSequence;Java/Probable bugs;'String.equals()' called with 'CharSequence' argument;JAVA;LOCAL;0.00;0.00%;0;2
UnaryPlus;Java/Numeric issues;Unary plus;JAVA;LOCAL;0.00;0.00%;0;3
InterfaceMethodClashesWithObject;Java/Abstraction issues;Interface method clashes with method in 'Object';JAVA;LOCAL;0.00;0.00%;0;3
StatementWithEmptyBody;Java/Probable bugs;Statement with empty body;JAVA;LOCAL;0.00;0.00%;0;2
ComparatorResultComparison;Java/Probable bugs;Suspicious usage of compare method;JAVA;LOCAL;0.00;0.00%;0;3
ImplicitArrayToString;Java/Probable bugs;Call to 'toString()' on array;JAVA;LOCAL;0.00;0.00%;0;3
divzero;Java/Numeric issues;Division by zero;JAVA;LOCAL;0.00;0.00%;0;3
SimplifyCollector;Java/Verbose or redundant code constructs;Simplifiable collector;JAVA;LOCAL;0.00;0.00%;0;3
SuspiciousArrayMethodCall;Java/Probable bugs;Suspicious 'Arrays' method call;JAVA;LOCAL;0.00;0.00%;0;2
SynchronizationOnLocalVariableOrMethodParameter;Java/Threading issues;Synchronization on local variable or method parameter;JAVA;LOCAL;0.00;0.00%;0;3
BusyWait;Java/Threading issues;Busy wait;JAVA;LOCAL;0.00;0.00%;0;2
RedundantFileCreation;Java/Verbose or redundant code constructs;Redundant 'File' instance creation;JAVA;LOCAL;0.00;0.00%;0;2
PointlessBooleanExpression;Java/Control flow issues;Pointless statement or boolean expression;JAVA;LOCAL;0.00;0.00%;0;2
AssignmentToCatchBlockParameter;Java/Assignment issues;Assignment to 'catch' block parameter;JAVA;LOCAL;0.00;0.00%;0;3
EnumSwitchStatementWhichMissesCases;Java/Control flow issues;Enum 'switch' statement that misses case;JAVA;LOCAL;0.00;0.00%;0;2
SuspiciousIntegerDivAssignment;Java/Probable bugs;Suspicious integer division assignment;JAVA;LOCAL;0.00;0.00%;0;2
EmptyTryBlock;Java/Error handling;Empty 'try' block;JAVA;LOCAL;0.00;0.00%;0;2
CastToIncompatibleInterface;Java/Probable bugs;Casting to incompatible interface;JAVA;LOCAL;0.00;0.00%;0;2
DuplicateBranchesInSwitch;Java/Verbose or redundant code constructs;Duplicate branches in 'switch';JAVA;LOCAL;0.00;0.00%;0;2
CallToThreadDumpStack;Java/Code maturity;Call to 'Thread.dumpStack()';JAVA;LOCAL;0.00;0.00%;0;2
ManualMinMaxCalculation;Java/Verbose or redundant code constructs;Manual min/max calculation;JAVA;LOCAL;0.00;0.00%;0;2
SimplifiableConditionalExpression;Java/Control flow issues;Simplifiable conditional expression;JAVA;LOCAL;0.00;0.00%;0;2
SillyAssignment;Java/Declaration redundancy;Variable is assigned to itself;JAVA;LOCAL;0.00;0.00%;0;2
MethodDoesntCallSuperMethod;Java/Inheritance issues;Method does not call super method;JAVA;LOCAL;0.00;0.00%;0;2
CollectionAddedToSelf;Java/Probable bugs;Collection added to itself;JAVA;LOCAL;0.00;0.00%;0;2
RedundantStreamOptionalCall;Java/Verbose or redundant code constructs;Redundant step in 'Stream' or 'Optional' call chain;JAVA;LOCAL;0.00;0.00%;0;2
KotlinSealedInheritorsInJava;Kotlin/Java interop issues;Inheritance of Kotlin sealed interface/class from Java;JAVA;LOCAL;0.00;0.00%;0;3
EqualsOnSuspiciousObject;Java/Probable bugs;'equals()' called on 'StringBuilder';JAVA;LOCAL;0.00;0.00%;0;2
EndlessStream;Java/Probable bugs;Non-short-circuit operation consumes infinite stream;JAVA;LOCAL;0.00;0.00%;0;3
